"","state","county","tract","B25035_001E"
"1","37","063","000600",1959
"2","37","063","001304",1965
"3","37","063","001710",1984
"4","37","063","001711",1984
"5","37","063","001801",1988
"6","37","063","001900",2008
"7","37","063","002007",1984
"8","37","063","000101",1956
"9","37","063","002018",1998
"10","37","063","001601",1981
"11","37","063","000900",1960
"12","37","063","000402",1969
"13","37","063","000102",1960
"14","37","063","001802",1981
"15","37","063","002015",1983
"16","37","063","000500",1974
"17","37","063","001100",1956
"18","37","063","001400",1958
"19","37","063","001502",1986
"20","37","063","001708",1980
"21","37","063","002009",1971
"22","37","063","000200",1949
"23","37","063","001604",1985
"24","37","063","001706",1986
"25","37","063","001707",1992
"26","37","063","002016",1988
"27","37","063","001001",1958
"28","37","063","001002",1965
"29","37","063","001301",1947
"30","37","063","001303",1961
"31","37","063","001603",1984
"32","37","063","001705",1974
"33","37","063","000401",1945
"34","37","063","000700",1972
"35","37","063","001709",1990
"36","37","063","002008",1979
"37","37","063","002013",1980
"38","37","063","000301",1961
"39","37","063","000302",1945
"40","37","063","001501",1974
"41","37","063","002017",1993
"42","37","063","002100",1994
"43","37","063","002023",1988
"44","37","063","002024",1992
"45","37","063","002025",1991
"46","37","063","002026",1999
"47","37","063","002027",2004
"48","37","063","002028",2007
"49","37","063","002200",1967
"50","37","063","002300",1989
"51","37","063","002021",2000
"52","37","063","001806",2001
"53","37","063","002020",2004
"54","37","063","001807",1995
"55","37","063","001808",2009
"56","37","063","001809",2001
"57","37","063","002019",1996
"58","37","063","002022",1996
